"","year","hh_id","ev_purchase_year","electricity_use","treat","post"
"1",2007,1,NA,1123.33,0,0
"2",2008,1,NA,678.2334,0,0
"3",2009,1,NA,1164.523,0,0
"4",2010,1,NA,864.4519,0,0
"5",2011,1,NA,-18.20605,0,0
"6",2012,1,NA,592.6289,0,0
"7",2013,1,NA,-267.4766,0,1
"8",2014,1,NA,-220.5193,0,1
"9",2015,1,NA,-542.3456,0,1
"10",2016,1,NA,-999.8419,0,1
"11",2017,1,NA,-1006.169,0,1
"12",2007,2,NA,951.9879,0,0
"13",2008,2,NA,874.5492,0,0
"14",2009,2,NA,1043.723,0,0
"15",2010,2,NA,901.645,0,0
"16",2011,2,NA,-161.318,0,0
"17",2012,2,NA,458.9834,0,0
"18",2013,2,NA,-281.0496,0,1
"19",2014,2,NA,-223.017,0,1
"20",2015,2,NA,-584.0662,0,1
"21",2016,2,NA,-1223.154,0,1
"22",2017,2,NA,-992.4906,0,1
"23",2007,3,NA,878.1072,0,0
"24",2008,3,NA,917.5216,0,0
"25",2009,3,NA,1105.615,0,0
"26",2010,3,NA,974.3352,0,0
"27",2011,3,NA,181.1031,0,0
"28",2012,3,NA,277.1877,0,0
"29",2013,3,NA,-225.238,0,1
"30",2014,3,NA,-92.27979,0,1
"31",2015,3,NA,-588.2423,0,1
"32",2016,3,NA,-1246.363,0,1
"33",2017,3,NA,-931.8928,0,1
"34",2007,4,NA,945.228,0,0
"35",2008,4,NA,864.1682,0,0
"36",2009,4,NA,1186.24,0,0
"37",2010,4,NA,876.4546,0,0
"38",2011,4,NA,-146.2811,0,0
"39",2012,4,NA,494.083,0,0
"40",2013,4,NA,-165.4137,0,1
"41",2014,4,NA,-140.9399,0,1
"42",2015,4,NA,-484.5548,0,1
"43",2016,4,NA,-1014.355,0,1
"44",2017,4,NA,-987.6951,0,1
"45",2007,5,NA,1079.128,0,0
"46",2008,5,NA,836.7145,0,0
"47",2009,5,NA,1178.587,0,0
"48",2010,5,NA,808.8621,0,0
"49",2011,5,NA,32.31726,0,0
"50",2012,5,NA,487.9104,0,0
"51",2013,5,NA,-349.3169,0,1
"52",2014,5,NA,-204.0566,0,1
"53",2015,5,NA,-477.1766,0,1
"54",2016,5,NA,-1354.15,0,1
"55",2017,5,NA,-838.2358,0,1
"56",2007,6,NA,1050.135,0,0
"57",2008,6,NA,710.0842,0,0
"58",2009,6,NA,1225.732,0,0
"59",2010,6,NA,660.4796,0,0
"60",2011,6,NA,-44.37341,0,0
"61",2012,6,NA,361.7925,0,0
"62",2013,6,NA,-509.9796,0,1
"63",2014,6,NA,-286.4886,0,1
"64",2015,6,NA,-655.6025,0,1
"65",2016,6,NA,-1088.329,0,1
"66",2017,6,NA,-905.2788,0,1
"67",2007,7,NA,995.0532,0,0
"68",2008,7,NA,572.2943,0,0
"69",2009,7,NA,1238.822,0,0
"70",2010,7,NA,767.2427,0,0
"71",2011,7,NA,147.4368,0,0
"72",2012,7,NA,206.4106,0,0
"73",2013,7,NA,-272.9702,0,1
"74",2014,7,NA,-156.5076,0,1
"75",2015,7,NA,-483.5933,0,1
"76",2016,7,NA,-1117.046,0,1
"77",2017,7,NA,-865.1274,0,1
"78",2007,8,NA,1000.681,0,0
"79",2008,8,NA,839.1628,0,0
"80",2009,8,NA,1337.078,0,0
"81",2010,8,NA,814.8862,0,0
"82",2011,8,NA,-81.53613,0,0
"83",2012,8,NA,484.543,0,0
"84",2013,8,NA,-536.8622,0,1
"85",2014,8,NA,-269.8588,0,1
"86",2015,8,NA,-632.4067,0,1
"87",2016,8,NA,-1153.696,0,1
"88",2017,8,NA,-999.8827,0,1
"89",2007,9,NA,1090.808,0,0
"90",2008,9,NA,982.0094,0,0
"91",2009,9,NA,1207.28,0,0
"92",2010,9,NA,695.6294,0,0
"93",2011,9,NA,64.97314,0,0
"94",2012,9,NA,281.8589,0,0
"95",2013,9,NA,-435.8805,0,1
"96",2014,9,NA,-250.8662,0,1
"97",2015,9,NA,-383.3086,0,1
"98",2016,9,NA,-1054.669,0,1
"99",2017,9,NA,-1181.17,0,1
"100",2007,10,NA,1134.906,0,0
"101",2008,10,NA,764.2018,0,0
"102",2009,10,NA,898.5189,0,0
"103",2010,10,NA,895.7085,0,0
"104",2011,10,NA,94.81409,0,0
"105",2012,10,NA,338.3962,0,0
"106",2013,10,NA,-371.0811,0,1
"107",2014,10,NA,-145.7993,0,1
"108",2015,10,NA,-512.3206,0,1
"109",2016,10,NA,-1198.376,0,1
"110",2017,10,NA,-913.0186,0,1
"111",2007,11,NA,888.121,0,0
"112",2008,11,NA,787.9127,0,0
"113",2009,11,NA,1232.348,0,0
"114",2010,11,NA,999.0503,0,0
"115",2011,11,NA,23.80273,0,0
"116",2012,11,NA,251.5482,0,0
"117",2013,11,NA,-397.7427,0,1
"118",2014,11,NA,-126.687,0,1
"119",2015,11,NA,-458.6016,0,1
"120",2016,11,NA,-1208.577,0,1
"121",2017,11,NA,-781.7512,0,1
"122",2007,12,NA,962.8328,0,0
"123",2008,12,NA,568.8831,0,0
"124",2009,12,NA,1201.065,0,0
"125",2010,12,NA,755.0531,0,0
"126",2011,12,NA,-13.98145,0,0
"127",2012,12,NA,266.673,0,0
"128",2013,12,NA,-344.5587,0,1
"129",2014,12,NA,-257.6222,0,1
"130",2015,12,NA,-361.981,0,1
"131",2016,12,NA,-1050.507,0,1
"132",2017,12,NA,-1028.904,0,1
"133",2007,13,NA,1334.979,0,0
"134",2008,13,NA,828.7882,0,0
"135",2009,13,NA,1212.95,0,0
"136",2010,13,NA,940.157,0,0
"137",2011,13,NA,23.922,0,0
"138",2012,13,NA,306.8418,0,0
"139",2013,13,NA,-394.8918,0,1
"140",2014,13,NA,-192.5676,0,1
"141",2015,13,NA,-480.4546,0,1
"142",2016,13,NA,-912.8612,0,1
"143",2017,13,NA,-1020.096,0,1
"144",2007,14,NA,1195.863,0,0
"145",2008,14,NA,852.8857,0,0
"146",2009,14,NA,1141.455,0,0
"147",2010,14,NA,836.4724,0,0
"148",2011,14,NA,131.9536,0,0
"149",2012,14,NA,332.0845,0,0
"150",2013,14,NA,-183.4459,0,1
"151",2014,14,NA,-100.9521,0,1
"152",2015,14,NA,-819.069,0,1
"153",2016,14,NA,-1088.932,0,1
"154",2017,14,NA,-1030.403,0,1
"155",2007,15,NA,1058.683,0,0
"156",2008,15,NA,911.465,0,0
"157",2009,15,NA,1043.924,0,0
"158",2010,15,NA,882.4868,0,0
"159",2011,15,NA,-29.19055,0,0
"160",2012,15,NA,371.0051,0,0
"161",2013,15,NA,-337.5347,0,1
"162",2014,15,NA,-203.6686,0,1
"163",2015,15,NA,-854.5248,0,1
"164",2016,15,NA,-1169.469,0,1
"165",2017,15,NA,-950.1855,0,1
"166",2007,16,NA,992.1656,0,0
"167",2008,16,NA,846.1616,0,0
"168",2009,16,NA,1176.964,0,0
"169",2010,16,NA,870.2327,0,0
"170",2011,16,NA,-26.07556,0,0
"171",2012,16,NA,325.9976,0,0
"172",2013,16,NA,-392.8295,0,1
"173",2014,16,NA,-287.2473,0,1
"174",2015,16,NA,-435.7642,0,1
"175",2016,16,NA,-1167.637,0,1
"176",2017,16,NA,-940.2559,0,1
"177",2007,17,NA,1064.571,0,0
"178",2008,17,NA,755.1462,0,0
"179",2009,17,NA,1230.375,0,0
"180",2010,17,NA,852.8157,0,0
"181",2011,17,NA,275.0542,0,0
"182",2012,17,NA,353.0671,0,0
"183",2013,17,NA,-415.6831,0,1
"184",2014,17,NA,-179.9463,0,1
"185",2015,17,NA,-463.4762,0,1
"186",2016,17,NA,-923.7448,0,1
"187",2017,17,NA,-767.6475,0,1
"188",2007,18,NA,1043.068,0,0
"189",2008,18,NA,853.142,0,0
"190",2009,18,NA,826.1746,0,0
"191",2010,18,NA,874.9971,0,0
"192",2011,18,NA,-38.88049,0,0
"193",2012,18,NA,347.8804,0,0
