share_women,list_rank,reservation,female_leader,number_of_residents,per_capita_income_rupees,incorp_year,manufacturing_product_share,public_goods_number
.1521102,1,1,1,1636944,119943.7,1853,.03,7
.1610897,2,1,1,1014676,121430.6,1874,.03,8
.1644803,3,1,1,1935532,120011,1865,.03,8
.1747852,4,1,0,927271,119381.6,1860,.03,3
.1827909,5,1,1,1442405,119837.7,1855,.03,8
.1998572,6,1,1,888112,119689,1894,.03,8
.2050707,7,1,1,1089660,120559.8,1873,.03,7
.2143051,8,1,0,2038911,120442.5,1891,.03,2
.2154472,9,1,0,770509,119821.2,1852,.03,2
.2178378,10,1,0,1378816,123276.2,1885,.03,1
.2190964,11,1,1,1663937,119540.2,1866,.03,8
.2226137,12,1,1,912974,121065.5,1884,.03,6
.2228349,13,1,0,2248825,120810.8,1884,.03,3
.2257501,14,1,1,875760,120142.3,1880,.03,8
.2265429,15,1,1,1594919,119172.5,1874,.03,7
.2279773,16,1,0,2047078,119724.9,1894,.03,1
.2307475,17,1,1,2081200,120070.1,1851,.03,7
.2310747,18,1,1,2857459,121040.4,1873,.03,5
.2344636,19,1,0,1335406,118375.6,1868,.03,3
.2396266,20,1,0,1993041,118956.6,1875,.03,2
.239978,21,1,1,1762332,120368.6,1893,.03,6
.244165,22,1,1,1750022,120599.9,1861,.03,6
.2451076,23,1,1,1191264,120476.4,1877,.03,9
.2473179,24,1,1,1536076,121331.9,1878,.03,7
.2481691,25,1,1,1110239,120864.3,1881,.03,7
.2517752,26,1,1,1616594,121104.3,1886,.03,6
.2522844,27,1,1,1371051,118266.5,1879,.03,6
.2526187,28,1,1,1437919,120122.8,1851,.03,7
.2535672,29,1,0,1327770,118858,1883,.03,2
.2552553,30,1,0,1391722,118863.2,1860,.03,1
.2570271,31,1,0,1065196,118873.3,1886,.03,3
.2577379,32,1,0,2438308,121478.8,1893,.03,1
.2579297,33,1,1,1049324,119017.1,1881,.03,7
.2582134,34,1,1,1903814,120374.1,1853,.03,8
.2587134,35,1,0,1820699,121007.4,1867,.03,3
.2617915,36,1,1,1522055,121395.6,1886,.03,6
.2619307,37,1,1,1418182,119151.4,1862,.03,8
.2655897,38,1,0,744781,118260.7,1863,.03,1
.2666253,39,1,0,998285,120206.3,1891,.03,3
.2668776,40,1,0,1684679,120878.6,1851,.03,2
.2681093,41,1,0,1971464,121681.7,1857,.03,-1
.26945,42,1,0,2596907,118873.2,1892,.03,3
.2696698,43,1,0,1655914,120012.1,1860,.03,2
.2702512,44,1,0,1650045,120694.1,1863,.03,2
.2708286,45,1,1,1850974,120929.5,1864,.03,6
.2713025,46,1,1,1192261,119869.2,1888,.03,6
.2723027,47,1,0,1942581,118928.2,1870,.03,1
.2724942,48,1,1,1783059,121124.4,1893,.03,7
.273961,49,1,1,1233963,121977.4,1889,.03,7
.2743324,50,1,0,1576511,120196.1,1878,.03,3
.2746687,51,1,1,518751,119636,1887,.03,7
.2750752,52,1,1,2073151,119467.6,1852,.03,7
.2755139,53,1,1,1504616,121534.9,1871,.03,7
.2755988,54,1,1,1503811,120378.3,1852,.03,9
.2763327,55,1,0,423374,117327.2,1883,.03,1
.2767021,56,1,1,397473,120167.4,1856,.03,7
.27816,57,1,0,1462253,121094.5,1859,.03,2
.2782013,58,1,1,2490175,120728.6,1875,.03,7
.278441,59,1,1,833469,119903.9,1856,.03,7
.2789313,60,1,1,1864319,119671.9,1863,.03,7
.2795062,61,1,0,1108184,118671.1,1850,.03,2
.2805358,62,1,1,1334688,120912.4,1895,.03,7
.2809173,63,1,1,1650713,120438.6,1890,.03,6
.2813562,64,1,0,1589945,120488.2,1865,.03,1
.2817059,65,1,0,2410652,121315.5,1862,.03,3
.282436,66,1,0,1547271,119589.2,1882,.03,1
.2826959,67,1,1,1643162,119625.1,1872,.031402,7
.2829126,68,1,1,572625,120376.5,1876,.03,7
.2830176,69,1,0,325581,119767.1,1884,.03,2
.2832742,70,1,1,672186,119589.4,1882,.03,8
.2834308,71,1,0,1946072,121777.2,1889,.0320033,2
.2841448,72,1,1,1515022,119568.8,1860,.0328058,5
.284526,73,1,0,2318837,119387.6,1874,.03,1
.2852569,74,1,0,1360623,121852.4,1881,.03,2
.2855942,75,1,1,2258653,118812.9,1872,.03,8
.285771,76,1,1,1279734,119256.8,1893,.03,7
.2858065,77,1,0,1589281,119226.3,1873,.03,3
.2864475,78,1,0,1295578,119823.1,1858,.03,1
.2871695,79,1,1,1611377,118916.5,1891,.03,9
.2879801,80,1,0,1604561,119745.5,1865,.03,2
.2887301,81,1,1,1682793,119407.2,1889,.03,8
.2893391,82,1,1,1417157,121377.1,1861,.03,8
.289526,83,1,1,1323376,119118.9,1884,.03,6
.2897716,84,1,1,1726438,120555.7,1883,.03,9
.289803,85,1,0,1333592,119819.8,1870,.03,2
.2904995,86,1,0,1317032,121411.5,1854,.03,2
.2911608,87,1,1,869025,120222.7,1880,.03,7
.2915586,88,1,1,1546822,118817,1879,.03,6
.2920961,89,1,0,352154,119396.2,1875,.03,1
.2923434,90,1,1,1024668,118975.9,1874,.03,9
.2923444,91,1,0,1214231,119376.6,1890,.0334768,2
.2925997,92,1,1,2402110,121959.1,1871,.03,7
.2926326,93,1,1,732524,121081.8,1871,.03,7
.2931753,94,1,0,1783703,118780.8,1867,.03,1
.2932481,95,1,0,1426279,121101.1,1872,.03,3
.2938521,96,1,0,959601,119925.4,1889,.03,2
.29386,97,1,0,1299583,118493.1,1879,.03,3
.2941416,98,1,1,2646084,120790.8,1881,.0301759,6
.2942193,99,1,1,1809322,119123.5,1885,.03,6
.2949583,100,1,0,1045545,120226,1860,.03,2
.2950056,101,1,0,1596558,120531,1876,.0375061,2
.2951068,102,1,1,1276104,120858.1,1853,.03,7
.2972959,103,1,1,990316,122709.6,1855,.03,6
.2974393,104,1,0,1405928,121616,1871,.03,1
.2974614,105,1,1,96188,120712.2,1857,.03,6
.2974819,106,1,1,1073309,119991.8,1883,.03,9
.2981782,107,1,1,1284481,120152,1861,.0324416,7
.2984473,108,1,0,2284020,120188.5,1857,.03,3
.2989639,109,1,1,1326935,119202.7,1856,.0305011,9
.2992767,110,1,0,1153638,119690.4,1892,.03,1
.2998206,111,1,1,1575822,119236.3,1881,.0328367,7
.3000762,112,1,0,1307554,118909.8,1853,.0369666,1
.3005349,113,1,0,2736529,120180.2,1857,.036696,2
.3006546,114,1,1,2165115,119208.7,1873,.0355492,7
.3007455,115,1,1,1442797,120200.8,1878,.0424588,8
.3008508,116,1,0,1599095,120069.4,1871,.0325151,2
.3009644,117,1,1,278491,119422.3,1873,.0315543,6
.3015275,118,1,0,914502,119836.4,1851,.039032,1
.3018638,119,1,0,1454868,118367.6,1891,.03,2
.3019912,120,1,1,1582970,120180.4,1872,.0356382,9
.3020459,121,1,1,1527949,119238.2,1888,.0348806,6
